place;sport;sport;liga_id;liga_name;is_top;
;;football;1488;Greek Cup. Play-off. Quarter Finals. First leg;1;
;;football;2531310;Hungary. League NB II;0;
;;football;15520;Women. Olympic Games qualification tournament. CONCACAF;0;
;;hockey;5158684;NHL. Matchday statistics;;это я так понимаю статистика скорее всего 0
;;hockey;2663362;Alps Hockey League. Regular championship;0;
;;football;812;France. Coupe de France. Play-off. 1/8 finals;2;Но у меня один аккаунт фонбет блокнул за этот кубок сразу после возврата ставки в связи с неверными коэффициентами
;;Футбол;11782;Израиль. Премьер-лига;1;
;;Футбол;5949260;Мавритания. 2-й дивизион;0;
;;Футбол;3552878;Германия. 2-я бундеслига;2;
;;Футбол;12196;Египет. Премьер-лига;1;
;;Футбол;1991191;Бразилия. Паулиста. 3-я лига;0;
;;Футбол;5995076;Кубок Испании. 1/8 финала;2;
;;Футбол;1989672;Бразилия. Паулиста. 2-я лига;0;
;;Футбол;5064763;Бразилия. Потигуар;0;
;;Футбол;1961738;Бразилия. Сержипано;0;
;;Футбол;2710292;Бразилия. Гояно;0;
;;Футбол;16724;Бразилия. Сеаренсе;0;
;;Хоккей;1607421;Чехия. Экстралига;1;
;;Хоккей;6364;Швеция. Аллсвенскан;1;
live;1;football;3688261;Jordan. League Cup. Group stage;0;
live;1;football;16260;Albania - Cup;0;
live;1;football;3721690;Women. Friendlies. Under 19;0;
live;1;football;629779;UAE. Youth League (U21);0;
live;2;hockey;1625890;VHL-B. Regular Season;1;Можно и в топ внести это третья в россии лига
pre;1;football;5480571;Australia. Y-League, Grand Final;0;
pre;1;football;3425224;England. Professional Development League (U23);1;
pre;1;football;1874915;Venezuela. Primera Division. Apertura;0;
pre;1;football;2585;Women. Belgium. Super League;0;
pre;2;hockey;3327698;Austria. Young Stars League;0;
pre;2;hockey;15172;Finland. Mestis;0;Можно середняк вторая лига финляндии
pre;2;hockey;5480879;World Championships (U20). Division IIB. South Korea;0;
live;2;hockey;5817256;Czech Republic. DHL Junior League of Academies Cup;0;
pre;1;football;5447990;Gibraltar. National League. Championship Group;0;
pre;1;football;1874937;Paraguay. Primera Division. Apertura;0;
pre;2;hockey;912630;Switzerland Cup. Final;2;Только именно финал топ остальное середняк
live;2;hockey;3803255;Austria. Young Stars League;0;
live;1;football;5733044;Guatemala. Reserve league;0;
pre;1;football;112645;South Africa. First Division;0;
live;2;hockey;3759329;Ukraine. UHL;1;
live;1;football;5172755;Gambia. Second Division;0;
live;1;football;4643840;Mexico. Premier League;1;
pre;1;football;5459906;Costa Rica. Liga de Ascenso. Clausura;0;
pre;1;football;5394113;Wales. 1st Division. South;0;
live;1;football;23021;Women. Israel. Premier league;0;
live;1;football;22357;Israel. Liga Bet;0;
live;1;football;5949260;Mauritania Super D2;0;
pre;1;football;5465923;Arabic Countries Champions;0;
live;1;football;3391181;Friendly tournament;1;Зависит от матча может быть топ может быть шлак
live;2;hockey;4606851;Czech Republic. Regional league (U20);0;
pre;2;hockey;5455220;Hungary. Erste Liga. Play out group;0;По моему размечали этот турнир
live;2;hockey;5038392;European University Hockey League;0;
live;1;football;158001;Iceland. Reykjavík Cup;0;
live;1;football;2868380;England. Premier League Cup (U23);1;
live;2;hockey;5680453;Czech Republic. University League;0;
live;1;football;4041982;Ireland. Leinster Senior League;0;
live;2;hockey;5139986;Sweden. 5th league;0;
live;1;football;1991621;Venezuela. Primera Division. Apertura;0;
live;1;football;3620057;Costa Rica. 2nd division;0;
pre;1;football;4153904;Spain. Tercera Division. Group 12;0;
pre;1;football;1037273;Argentina. Torneo Federal A;0;
pre;2;hockey;4494202;Slovakia. 1st Liga, Playout;0;
pre;1;football;304815;Peru. Primera Division. Apertura;0;
live;2;hockey;2338704;USA. ECHL;0;
pre;1;football;2421946;Algeria. First division;0;
pre;1;football;15865;UAE. Pro League;1;Тооже по моему размечали
pre;1;football;5482238;Кубок Португалии. 1/2 финала;2;Полуфиналы и финал, можно четвертьфиналы в топ остальное середняк
